wallet_id,score
0x000000000000000000000000000000000000dead,600
0x00000000000000000000000000000000a9059cbb,600
0x000000000000006f6502b7f2bbac8c30a3f67e9a,600
0x0000000000000eb4ec62758aae93400b3e5f7f18,600
0x00000000000017c75025d397b91d284bbe8fc7f2,600
0x0000000000002cb29260612e744ec57d9d1fc5c6,600
0x0000000000002d534ff79e9c69e7fcc742f0be83,600
0x0000000000005117dd3a72e64a705198753fdd54,600
0x00000000000067afd7fa546d3f63d4e53cdb8fa4,870
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,600
0x00000000000080c886232e9b7ebbfb942b5987aa,600
0x000000000000abe945c436595ce765a8a261317b,600
0x000000000000deab340f067535869a0e5226e58a,600
0x000000000000df8c944e775bde7af50300999283,600
0x000000000000e59fc57340cd50d1b12221601b87,600
0x00000000000123685885532dcb685c442dc83126,600
0x000000000002e33d9a86567c6dfe6d92f6777d1e,600
0x000000000004444c5dc75cb358380d2e3de08a90,600
0x000000000005af2ddc1a93a03e9b7014064d3b8d,600
0x00000000000747d525e898424e8774f7eb317d00,600
0x00000000000e1d0dabf7b7c7b68866fc940d0db8,600
0x0000000000117d8c0c6103eca077462224723192,600
0x00000000001876eb1444c986fd502e618c587430,600
0x000000000025d4386f7fb58984cbe110aee3a4c4,600
0x000000000035b5e5ad9019092c665357240f594e,600
0x0000000000368bfc31a7f71e5080f09722fd2751,600
0x00000000003b3cc22af3ae1eac0440bcee416b40,600
0x0000000000422b2f811c10b1cc887d0cbf0f765e,600
0x0000000000438f975cbde76d5fdd1aa76be46577,600
0x000000000075a43abafc7c8ac407c6ce74f3cc28,600
0x000000000081105ffd4392520dd13c4c70d95d19,600
0x00000000008943c65caf789fffcf953be156f6f8,600
0x00000000008c4fb1c916e0c88fd4cc402d935e7d,600
0x00000000009726632680fb29d3f7a9734e3010e2,600
0x00000000009a41862f3b2b0c688b7c0d1940511e,600
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,600
0x0000000000a84d1a9b0063a910315c7ffa9cd248,600
0x0000000000a8fb09af944ab3baf7a9b3e1ab29d8,600
0x0000000000c521824eaff97eac7b73b084ef9306,600
0x0000000000c9b1dde987a6abe20a2af8d9e636d9,600
0x0000000000cc2f88402b31ca4045f37bf79f3e59,600
0x0000000000ebbdaf01e3de2506ca1e4c08d3ceba,600
0x0000000000f4def5f3572c846b1483daf4588d8f,600
0x0000000000f86140fb3a04391fd7da52bbc5e35f,600
0x000000000562872307a4ba7c8c1625f55bdb3a84,600
0x0000000008980b7095e3fed4a047e930c871a200,600
0x000000000a2daefe11b26dcdaecde7d33ad03e9d,600
0x000000000ddff3ce6638c1f1a1448a7d243b6cc8,600
0x0000000038355af6ffd5328a16cfd2170e59f39c,645
0x00000000500e2fece27a7600435d0c48d64e0c00,600
0x0000000053d411becdb4a82d8603edc6d8b8b3bc,600
0x00000000553a85582988aa8ad43fb7dda2466bc7,675
0x000000005bcf85aad6ed1d32db5490deddfc97f9,780
0x000000006704b0eecd4481dad8237e705a6a3e27,600
0x00000000726422a6fecb4759b44d47e48cf746aa,600
0x0000000073ab64137e95dea458bac6d7aa503636,622
0x0000000094acb89a43eac2fbb3a07973efc2435c,840
0x0000000096b674bb0ea9c74c28be782bb48724de,600
0x0000000099cb7fc48a935bceb9f05bbae54e8987,600
0x00000000ad3fb067501751e1176c9105d6a47cec,600
0x00000000af5a61acaf76190794e3fdf1289288a1,982
0x00000000b083504037aa01c2d7297f6d459d5fc3,600
0x00000000b1786c9698c160d78232c78d6f6474fe,967
0x00000000b2ff98680adaf8a3e382176bbfc34c8f,600
0x00000000c2cf7648c169b25ef1c217864bfa38cc,600
0x00000000e1fa75ba0fcb4a319d2928a3fe3638e4,600
0x00000000e29fd822365856bde355f5713f917d8f,600
0x00000000e84f2bbdfb129ed6e495c7f879f3e634,682
0x00000000fea1fab3ce021f3bedd21a94d0ba190c,600
0x0000000484f2217f1a64eb6d24b5cee446faeae5,680
0x0000000f8ef4be2b7aed6724e893c1b674b9682d,600
0x0000002e7af4dda4efffc7229400c578a9f34d00,600
0x00000047bb99ea4d791bb749d970de71ee0b1a34,600
0x000000aaee6a496aaf7b7452518781786313400f,761
0x000000dcf1190af44f7149b85299f18ce7221024,600
0x000000f15851d0875e878a83451163999bf5da51,600
0x000000f54395c554346bfd24e6a1ccd90b881a4e,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f91,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f92,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f93,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f94,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f9d,600
0x000000fe6d4bc2de2d0b0e6fe47f08a28ed52f9e,600
0x000000fee13a103a10d593b9ae06b3e05f2e7e1c,600
0x000003987ea68fc0e08053268aea422cdb900000,625
0x00000688768803bbd44095770895ad27ad6b0d95,600
0x00000a6bbb35ea3f6f8dbc94801738f490c30a8d,600
0x00000b46508882a135b4933b82a07df8f24a0068,600
0x00000c08a7ec000b9e93be6068ee2d5055a4534d,600
0x00000cad74214b2771b692b1065f9d0ad7b00000,600
0x00000f2d00b7a76100366c0013c2000595ee0067,600
0x00000f91109c4d0007e90000d9facad5298a0cac,727
0x000010036c0190e009a000d0fc3541100a07380a,600
0x00001d0f60d085992272cde64bb4975b3eb55bd1,600
0x00001d2fc70134bbed09da65294b45cbd3240000,600
0x0000209fa57715b0833456a57528e0b38b6ef7e5,600
0x00002b503a75998c97508916a74fdb41934fa030,627
0x00002f82e9e3ca526f7cb578973bcc19da313177,600
0x000030349d16949049ec052b33eaff30a1730000,600
0x00003efa28395b41a5030243c09dcfd325dc0000,600
